id,city,squareMeters,rooms,buildYear,price,price_per_square_meter
7728e2a053c05aef1520c3c1192fe6c8,krakow,35.0,1.0,2005.0,449000,12828.571428571429
5e3222dc1c1e78ca7c8203e74b0b4472,krakow,29.7,2.0,1940.0,449000,15117.845117845118
4c11d5b1c184125f855ea956ce39316c,krakow,29.5,2.0,1970.0,449000,15220.338983050848
7728e2a053c05aef1520c3c1192fe6c8,krakow,35.0,1.0,2005.0,449000,12828.571428571429
64398d1fe2e1ad99fed4b962dde50611,krakow,29.7,3.0,1940.0,449000,15117.845117845118
f63d4a3097b2aa491152c94097a1bf8c,krakow,29.39,1.0,1998.0,449000,15277.30520585233
327ab40aa0b11e1e6de710bf0ca451cb,krakow,34.0,1.0,1983.0,449000,13205.882352941177
64398d1fe2e1ad99fed4b962dde50611,krakow,29.7,3.0,1940.0,449000,15117.845117845118
b1d18fc2af079a184d635199dd34ae8e,krakow,30.3,1.0,2016.0,449999,14851.452145214522
96206082ff12fa3a53163ce1248c1499,krakow,26.69,1.0,2014.0,449999,16860.209816410639
96206082ff12fa3a53163ce1248c1499,krakow,26.69,1.0,2014.0,449999,16860.209816410639
96206082ff12fa3a53163ce1248c1499,krakow,26.69,1.0,2014.0,449999,16860.209816410639
b1d18fc2af079a184d635199dd34ae8e,krakow,30.3,1.0,2016.0,449999,14851.452145214522
4939feda778784766a370332d2d3f180,krakow,25.0,1.0,,450000,18000.0
8687f8d65ba61fae496972158a934477,krakow,34.5,1.0,2021.0,450000,13043.478260869566
f1b7ed11654108d386c21f49ec314af9,krakow,33.0,2.0,,450000,13636.363636363636
dc87ba5911ec69f6272169219fe95f0c,krakow,36.0,2.0,1960.0,450000,12500.0
3a65ee2b3d101e420883880c8d1971c0,krakow,36.4,2.0,,450000,12362.637362637362
44e9106a2994aa901fa42e0ab8fb2be6,krakow,36.4,2.0,,450000,12362.637362637362
866bcec2f4d530ac9e0d7f420c140740,krakow,31.2,1.0,2003.0,450000,14423.076923076924
831b9c8d438ffa574ca03f11e99ea384,krakow,27.0,1.0,1930.0,450000,16666.666666666668
8687f8d65ba61fae496972158a934477,krakow,34.5,1.0,2021.0,450000,13043.478260869566
2ce75ab4f7f70e886621dd99aae75ae1,krakow,40.7,2.0,,450000,11056.511056511055
f204bbd740306823f9da3c42ba511880,krakow,40.0,2.0,1935.0,450000,11250.0
99c2f2aa96ea06d88692d7504007ee1e,krakow,39.28,2.0,1965.0,450000,11456.211812627291
9c71b1df26cff885b1b8215d0922a9ff,krakow,26.0,1.0,2020.0,450000,17307.692307692309
d4dde83c2ac53f6da7cec86517afdb33,krakow,28.0,2.0,1910.0,450000,16071.428571428571
8112bf1d5a42d9661fc03d6f26885c0b,krakow,34.43,2.0,1980.0,450000,13069.9970955562
f204bbd740306823f9da3c42ba511880,krakow,40.0,2.0,1935.0,450000,11250.0
9c71b1df26cff885b1b8215d0922a9ff,krakow,26.0,1.0,2020.0,450000,17307.692307692309
275c0294596f613d983fc89eea89b2a1,krakow,29.0,2.0,1997.0,450000,15517.241379310344
46a3867e408d6ba3e791072a649c2eb8,krakow,25.1,1.0,,450000,17928.286852589641
bf7601f044f7635e312a9937c6e91bc0,krakow,25.1,1.0,,450000,17928.286852589641
b16fa9ebfa17d5a4353fa3725af39ca7,krakow,25.15,1.0,,450000,17892.644135188868
525346a9be7d6475074fc5ec6f129dea,krakow,28.0,1.0,,450000,16071.428571428571
428d729eedd98c99bb124f33f370a5c0,krakow,36.0,2.0,1960.0,450000,12500.0
bf7601f044f7635e312a9937c6e91bc0,krakow,25.1,1.0,,450000,17928.286852589641
b16fa9ebfa17d5a4353fa3725af39ca7,krakow,25.15,1.0,,450000,17892.644135188868
cbb5cc3c25f322b99f86c32fe7af37ca,krakow,25.0,1.0,2016.0,455000,18200.0
d18c7d45f502762b3847ab9a20d3469c,krakow,27.0,2.0,2014.0,455000,16851.85185185185
6b1895bd1ce6bf59230ef99b0cc85e38,krakow,27.0,2.0,2014.0,455000,16851.85185185185
dbff6c33281319934972e417fd56f0f6,krakow,35.0,1.0,1945.0,455000,13000.0
de3faa60f9488da9b57cad774efb6192,krakow,38.0,2.0,1930.0,455000,11973.684210526315
b660031a672286455902c2d04a7f84dd,krakow,31.47,1.0,1940.0,455000,14458.214172227519
dbff6c33281319934972e417fd56f0f6,krakow,35.0,1.0,1945.0,455000,13000.0
b660031a672286455902c2d04a7f84dd,krakow,31.47,1.0,1940.0,455000,14458.214172227519
bce27501404cb0b6ced42e6ab7d73793,krakow,35.42,2.0,1955.0,455000,12845.84980237154
3088fe51af7ea66c382a84e7d1bb3cf5,krakow,34.0,2.0,,458000,13470.588235294117
15e7d26218420869e8513622716b02a4,krakow,37.0,2.0,,459000,12405.405405405405
12582200bf831161ff1ad8e07ccf2b54,krakow,37.0,2.0,1980.0,459000,12405.405405405405
af79f686c85af068cdeba80237eeec27,krakow,31.5,1.0,2001.0,459000,14571.428571428571
d19dc7b4c6462ae1dfa049d8a1697872,krakow,25.5,1.0,1965.0,459000,18000.0
78e2844b302b91ae5a05e6566f122e9b,krakow,39.42,2.0,1978.0,459000,11643.835616438355
48ddd12aba8d9b904bebc887f5c4e40b,krakow,34.0,2.0,1970.0,459000,13500.0
13329a8ad665a2003e02ba95b1265a5b,krakow,37.29,2.0,1965.0,460000,12335.746849021185
2474411a4c46d7b5ce9df9dde9250329,krakow,25.0,2.0,,460000,18400.0
3e8bf98968fb195c7208d9a48d8d6b7e,krakow,31.0,2.0,,460000,14838.709677419354
8a7bab3aed1b1e6497ca0700348a64ba,krakow,36.95,2.0,,460000,12449.255751014884
0ef0ba812704d0d68e23c95c4629387f,krakow,35.0,2.0,1980.0,460000,13142.857142857143
4538fb0e8eef0b2b4f52558d7d8073ba,krakow,37.19,2.0,,460000,12368.916375369723
fd305af9ac84f28b262f461491006007,krakow,27.0,1.0,1980.0,460000,17037.037037037036
13329a8ad665a2003e02ba95b1265a5b,krakow,37.29,2.0,1965.0,460000,12335.746849021185
e0f84a233b9e065a1d5c63f839961d15,krakow,39.23,2.0,2024.0,462914,11800.000000000002
e0f84a233b9e065a1d5c63f839961d15,krakow,39.23,2.0,2024.0,462914,11800.000000000002
604f85ba03c0f7756244060f36a5cf6b,krakow,28.5,1.0,2018.0,464000,16280.701754385966
68375767dd7b4b60fb7e60130f3ff39b,krakow,31.0,1.0,2009.0,465000,15000.0
b90d00beb0eee6657bc2228d40394346,krakow,28.0,1.0,,465000,16607.142857142859
089eba62529ce15ebd67af8a0b3da28e,krakow,29.01,1.0,2017.0,465000,16028.955532574973
103f0865fd81d66b49429929e0c2d2a9,krakow,28.96,1.0,,465000,16056.629834254143
103f0865fd81d66b49429929e0c2d2a9,krakow,28.96,1.0,,465000,16056.629834254143
c1989549ccc64215d5de9157c5dccccb,krakow,36.07,2.0,1969.0,466000,12919.323537565844
680a34c4ec3ea69321bf1f9cf6e5f30e,krakow,28.18,1.0,2024.0,467700,16596.877217885027
91736829e3f637d411c374e03ba36f44,krakow,36.0,2.0,,468000,13000.0
7da6246aeb19288077262b559e33a40d,krakow,36.1,2.0,1967.0,468000,12963.98891966759
7da6246aeb19288077262b559e33a40d,krakow,36.1,2.0,1967.0,468000,12963.98891966759
863ad85bb71494567174f8abe4bfc101,krakow,47.1,3.0,1960.0,468645,9950.0
dd77da8777ab3995e7773541088295e8,krakow,39.0,2.0,1970.0,469000,12025.641025641025
34c19effe7bfb80827ad1de3269caa4c,krakow,33.0,1.0,,469000,14212.121212121212
073384b1d80b2b4cc85dc69c41c229ba,krakow,39.0,2.0,1960.0,469000,12025.641025641025
1ef6b1412b5ee0e5111e6d08de334583,krakow,37.31,2.0,1974.0,469000,12570.356472795496
12582200bf831161ff1ad8e07ccf2b54,krakow,37.0,2.0,1980.0,469000,12675.675675675675
831b9c8d438ffa574ca03f11e99ea384,krakow,27.0,1.0,1930.0,469000,17370.370370370369
18d6861a96289827599748142d9ecc3b,krakow,39.0,2.0,1995.0,469000,12025.641025641025
423f9bab720f79a680ca5ad80799b2b3,krakow,31.0,1.0,1930.0,469000,15129.032258064517
0ceb0c6246167a5c29b08773c6b7f2f3,krakow,32.0,3.0,1890.0,469000,14656.25
dd77da8777ab3995e7773541088295e8,krakow,39.0,2.0,1970.0,469000,12025.641025641025
34c19effe7bfb80827ad1de3269caa4c,krakow,33.0,1.0,,469000,14212.121212121212
97ef6676ef737a50b7b22c1e0713f407,krakow,35.21,2.0,,469000,13320.079522862823
1399512c9792baf6a8c1eec16f9398bd,krakow,37.0,2.0,1980.0,469000,12675.675675675675
0ceb0c6246167a5c29b08773c6b7f2f3,krakow,32.0,3.0,1890.0,469000,14656.25
f13533bcf372b8820049ab882b852251,krakow,33.0,2.0,1980.0,469000,14212.121212121212
f13533bcf372b8820049ab882b852251,krakow,33.0,2.0,1980.0,469000,14212.121212121212
fce42f7d14ff40f1c5a32714aececb5e,krakow,28.0,1.0,,469000,16750.0
cc9a9dbf9358f2835c62df682e1e0f69,krakow,31.0,1.0,2001.0,469000,15129.032258064517
fce42f7d14ff40f1c5a32714aececb5e,krakow,28.0,1.0,,469000,16750.0
